"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"1","d21.Sod vs d7.Sod",1,0.402440598029461,2.07572189352305,0.137686401233949,0.026,0.0415087719298246,"."
"2","d21.Sod vs d28.Sod",1,0.256950805807738,1.40803427319146,0.0808841625133887,0.129,0.141433734939759,""
"3","d21.Sod vs d14.Sod",1,0.340416384400502,1.79711966406044,0.113762489762549,0.024,0.0397090909090909,"."
"4","d21.Sod vs d3.Sod",1,0.398445889563352,2.6398691257162,0.180320541327726,0.005,0.0156896551724138,"."
"5","d21.Sod vs d14.Wash",1,0.612547469482674,3.61865821209054,0.217746713718311,0.001,0.0056875,"*"
"6","d21.Sod vs d3.Wash",1,0.789997312710639,4.46823948563287,0.27132466038832,0.001,0.0056875,"*"
"7","d21.Sod vs d28.Wash",1,0.362123095226813,1.99568565091943,0.142592917610173,0.026,0.0415087719298246,"."
"8","d21.Sod vs d21.Wash",1,0.545155443064049,2.95579596622148,0.19763548345386,0.007,0.0187352941176471,"."
"9","d21.Sod vs d7.Wash",1,0.797032077086774,4.23547503089195,0.297529588700109,0.001,0.0056875,"*"
"10","d21.Sod vs d1.Wash",1,1.17093933674791,6.63122916509367,0.355920111675591,0.001,0.0056875,"*"
"11","d21.Sod vs d0.Sod",1,0.449942285320073,2.61310843660042,0.20717402452656,0.008,0.0202222222222222,"."
"12","d21.Sod vs d1.Sod",1,0.363479442666368,2.05927074701661,0.186203122621998,0.023,0.0394905660377358,"."
"13","d21.Sod vs d0.Wash",1,0.643668677135842,4.15246624183228,0.409010593379019,0.032,0.049,"."
"14","d7.Sod vs d28.Sod",1,0.347601557355802,1.72265625437288,0.0831291236619034,0.041,0.0556865671641791,""
"15","d7.Sod vs d14.Sod",1,0.303395102928804,1.44637294651521,0.0784096120526748,0.072,0.0897534246575342,""
"16","d7.Sod vs d3.Sod",1,0.214461225426469,1.18041355492035,0.072953237623608,0.243,0.251284090909091,""
"17","d7.Sod vs d14.Wash",1,0.441037274550845,2.26564278392069,0.124038491868194,0.016,0.0338604651162791,"."
"18","d7.Sod vs d3.Wash",1,0.524599175167728,2.59217218793544,0.1473480454968,0.013,0.029575,"."
"19","d7.Sod vs d28.Wash",1,0.357159105396048,1.7329547824814,0.103565377723707,0.048,0.0615211267605634,""
"20","d7.Sod vs d21.Wash",1,0.490594868535088,2.3531441771176,0.135603332347145,0.013,0.029575,"."
"21","d7.Sod vs d7.Wash",1,0.408294829729983,1.89847492533538,0.127427467230686,0.035,0.049,"."
"22","d7.Sod vs d1.Wash",1,0.845678649836607,4.18239553397209,0.218033015040538,0.001,0.0056875,"*"
"23","d7.Sod vs d0.Sod",1,0.256548544776457,1.26526957486054,0.0886958054469792,0.19,0.201046511627907,""
"24","d7.Sod vs d1.Sod",1,0.171604129835738,0.822837890041078,0.064169717896858,0.587,0.600191011235955,""
"25","d7.Sod vs d0.Wash",1,0.469334000198912,2.29056137488175,0.202874002348332,0.02,0.0356862745098039,"."
"26","d28.Sod vs d14.Sod",1,0.319591967414808,1.61192201632034,0.0745848525227461,0.049,0.0619305555555556,""
"27","d28.Sod vs d3.Sod",1,0.352631712490958,2.03139682915909,0.101410642826568,0.009,0.0221351351351351,"."
"28","d28.Sod vs d14.Wash",1,0.686312082789053,3.71085295761565,0.163395578516626,0.001,0.0056875,"*"
"29","d28.Sod vs d3.Wash",1,0.93141616097437,4.88069824714875,0.21331072130882,0.001,0.0056875,"*"
"30","d28.Sod vs d28.Wash",1,0.297494352047619,1.53397601981655,0.078528611802348,0.078,0.0933947368421053,""
"31","d28.Sod vs d21.Wash",1,0.575355674183468,2.93660417721097,0.140261723073859,0.004,0.0134814814814815,"."
"32","d28.Sod vs d7.Wash",1,0.771411301507986,3.86281806801126,0.194474825011475,0.001,0.0056875,"*"
"33","d28.Sod vs d1.Wash",1,1.31479975835686,6.89503843892767,0.276964362029106,0.001,0.0056875,"*"
"34","d28.Sod vs d0.Sod",1,0.335908141522249,1.77067966005147,0.0996405142585495,0.04,0.0551515151515152,""
"35","d28.Sod vs d1.Sod",1,0.244930707735914,1.26600746131892,0.077831481654581,0.176,0.188423529411765,""
"36","d28.Sod vs d0.Wash",1,0.601770385742053,3.2187711149308,0.211500067293405,0.014,0.0310731707317073,"."
"37","d14.Sod vs d3.Sod",1,0.304240427206751,1.70398919619627,0.0962488836449571,0.034,0.049,"."
"38","d14.Sod vs d14.Wash",1,0.314868551389222,1.64898349027062,0.0884221647325128,0.08,0.0945,""
"39","d14.Sod vs d3.Wash",1,0.671480543022879,3.39221314677715,0.174926560527255,0.002,0.00866666666666667,"*"
"40","d14.Sod vs d28.Wash",1,0.334883384405698,1.66248652849256,0.0941252821798723,0.042,0.0562058823529412,""
"41","d14.Sod vs d21.Wash",1,0.322485871776416,1.58335436162507,0.0900484815957911,0.075,0.0922297297297297,""
"42","d14.Sod vs d7.Wash",1,0.526306286749761,2.51706848020314,0.152391962485354,0.007,0.0187352941176471,"."
"43","d14.Sod vs d1.Wash",1,1.07188511559006,5.41957841981176,0.253019845376555,0.001,0.0056875,"*"
"44","d14.Sod vs d0.Sod",1,0.424745815594203,2.14875099259204,0.133059887639468,0.006,0.0176129032258065,"."
"45","d14.Sod vs d1.Sod",1,0.295092348436756,1.45635679414663,0.100741619405541,0.081,0.0945,""
"46","d14.Sod vs d0.Wash",1,0.475098813004664,2.40485630221025,0.19386409996396,0.017,0.03458,"."
"47","d3.Sod vs d14.Wash",1,0.503846216311208,3.14199431661756,0.173189025516317,0.004,0.0134814814814815,"."
"48","d3.Sod vs d3.Wash",1,0.575967216162671,3.46603860661682,0.198444460400068,0.003,0.01092,"."
"49","d3.Sod vs d28.Wash",1,0.432714134778091,2.54297868770449,0.153719516642704,0.003,0.01092,"."
"50","d3.Sod vs d21.Wash",1,0.537100388978292,3.10970808680482,0.18175108955851,0.006,0.0176129032258065,"."
"51","d3.Sod vs d7.Wash",1,0.581931698102701,3.34666281743839,0.218071046275649,0.002,0.00866666666666667,"*"
"52","d3.Sod vs d1.Wash",1,0.959854998884029,5.78284740412557,0.292316231632035,0.002,0.00866666666666667,"*"
"53","d3.Sod vs d0.Sod",1,0.244426817939915,1.52237475954152,0.112581908622768,0.095,0.1080625,""
"54","d3.Sod vs d1.Sod",1,0.136451612036713,0.836945098432062,0.0707061738879675,0.596,0.602622222222222,""
"55","d3.Sod vs d0.Wash",1,0.491563438855256,3.46518631384766,0.302235499623971,0.013,0.029575,"."
"56","d14.Wash vs d3.Wash",1,0.480523798920209,2.65403850827269,0.150336055233425,0.016,0.0338604651162791,"."
"57","d14.Wash vs d28.Wash",1,0.34648237110366,1.87516900106725,0.111120013135789,0.033,0.049,"."
"58","d14.Wash vs d21.Wash",1,0.227520532838973,1.21564439169259,0.0749673810259047,0.218,0.228022988505747,""
"59","d14.Wash vs d7.Wash",1,0.387959363116391,2.03696441856511,0.135463805184656,0.018,0.03458,"."
"60","d14.Wash vs d1.Wash",1,0.848836619837766,4.69294114371542,0.23830575176492,0.001,0.0056875,"*"
"61","d14.Wash vs d0.Sod",1,0.63337631016762,3.55516032678881,0.214746354406246,0.001,0.0056875,"*"
"62","d14.Wash vs d1.Sod",1,0.428914400169926,2.35801908002614,0.16423011188963,0.003,0.01092,"."
"63","d14.Wash vs d0.Wash",1,0.467114909488289,2.7581434508364,0.234573039729346,0.019,0.03458,"."
"64","d3.Wash vs d28.Wash",1,0.552322585547139,2.87168977450669,0.170207597039026,0.008,0.0202222222222222,"."
"65","d3.Wash vs d21.Wash",1,0.573900851147316,2.94473323497993,0.173784573303341,0.007,0.0187352941176471,"."
"66","d3.Wash vs d7.Wash",1,0.33309373812289,1.66752782540384,0.122006543297787,0.105,0.117962962962963,""
"67","d3.Wash vs d1.Wash",1,0.361164087030749,1.91948854327387,0.120574762063249,0.113,0.12540243902439,""
"68","d3.Wash vs d0.Sod",1,0.738410306190046,3.96089465772933,0.248162445944796,0.001,0.0056875,"*"
"69","d3.Wash vs d1.Sod",1,0.464931978710007,2.43094198543915,0.180995643349111,0.018,0.03458,"."
"70","d3.Wash vs d0.Wash",1,0.490083069455323,2.7127218593328,0.253224334109777,0.024,0.0397090909090909,"."
"71","d28.Wash vs d21.Wash",1,0.282236383764778,1.4191543058933,0.092038400922604,0.131,0.141916666666667,""
"72","d28.Wash vs d7.Wash",1,0.433353839156245,2.12009331441586,0.150147259455528,0.044,0.0572,""
"73","d28.Wash vs d1.Wash",1,0.931694056150403,4.84898020616516,0.257254246814856,0.002,0.00866666666666667,"*"
"74","d28.Wash vs d0.Sod",1,0.470183258305479,2.4607224508136,0.17016594151388,0.005,0.0156896551724138,"."
"75","d28.Wash vs d1.Sod",1,0.315956340491741,1.60932247445953,0.127629575476339,0.077,0.0933947368421053,""
"76","d28.Wash vs d0.Wash",1,0.614034404902403,3.27247217818856,0.290306520740017,0.031,0.0486379310344828,"."
"77","d21.Wash vs d7.Wash",1,0.441878765955791,2.1307036905899,0.150785391672236,0.021,0.03675,"."
"78","d21.Wash vs d1.Wash",1,0.869936769801584,4.46810601119957,0.241936341955693,0.001,0.0056875,"*"
"79","d21.Wash vs d0.Sod",1,0.670950085448766,3.45746470223372,0.223676053533804,0.001,0.0056875,"*"
"80","d21.Wash vs d1.Sod",1,0.440482181991134,2.20701142355538,0.167109072050855,0.019,0.03458,"."
"81","d21.Wash vs d0.Wash",1,0.518888826701493,2.70098558827294,0.252405310332621,0.035,0.049,"."
"82","d7.Wash vs d1.Wash",1,0.493612361101569,2.47387852477365,0.170920221593634,0.019,0.03458,"."
"83","d7.Wash vs d0.Sod",1,0.601549983798629,3.01186303604731,0.231470545586241,0.003,0.01092,"."
"84","d7.Wash vs d1.Sod",1,0.413213870604835,1.9951506543649,0.181457327605862,0.035,0.049,"."
"85","d7.Wash vs d0.Wash",1,0.491149592221148,2.44463460392742,0.289489684111432,0.035,0.049,"."
"86","d1.Wash vs d0.Sod",1,0.94829027672057,5.09280806321084,0.297950345219881,0.001,0.0056875,"*"
"87","d1.Wash vs d1.Sod",1,0.666551539255452,3.48957370301147,0.240833427852071,0.002,0.00866666666666667,"*"
"88","d1.Wash vs d0.Wash",1,0.608970826736383,3.37705343100506,0.29683023389886,0.019,0.03458,"."
"89","d0.Sod vs d1.Sod",1,0.147640931303286,0.779772069690132,0.0797331537108962,0.656,0.656,""
"90","d0.Sod vs d0.Wash",1,0.416845564544083,2.39218033201786,0.285048728384828,0.044,0.0572,""
"91","d1.Sod vs d0.Wash",1,0.392956217518716,2.15381340149362,0.301072068925355,0.09,0.103670886075949,""
